work_Id,nom projet,permalink,Date de création,*SPV,Puissance MWc (Prev),Longitude DD (Projet),Latitude DD (Projet),Adresse (Projet),Code Postal (Projet),Commune (Projet),Période (Dépôt CRE),📆 Date (T0),Date (Limite MES),Type (Tarif)-V2,FIT €/MWh (déf),📅 Signature PMBAIL,Commercial,📆 Date (Demande Racco),Région (Projet),Date (MES prev),Puissance (MWc Déf),📆 Date réception CR(D),Montant HT CR(D),Estimatif cout Racco (HT),Date (Début Chantier),Productible kWh/kWc (V1),Responsable Dev,Date paiement acompte ( CR(D) ),Date (envoi dossier notaire),Productible kWh/kWc (V4 Solargis),Type (AU),Lauréat AO,📆 Signature Bail,Date (Signature Procuration),Réception DAACT,Pipeline (HS),📆 GO RACCO,Accord,📆 GO URBA,📆 Prev Accord,Validité,Date dépôt AO,📅 GO TARIF,Date (Fin Chantier),Date MES,📅 GO CONSTRUCTION,Date accord (PCM1),📆 Dépôt,Hypothèque,CAPEX - V3 (K€),Productible kWh/kWc (V3 Solargis),Date accord (PCM2),📆 COMPLETUDE OK,Date accord (Transf PC),Productible kWh/kWc (V2 Solargis),CAPEX - V1 (K€),Marge K€ (V1),Marge (V1),CAPEX - V2 (K€),Marge K€ (V2),📅 Date R1 fixée,Marge (V2),Date accord (PCM3),Marge K€ (V3),📅  Date accord (Transf DP),Marge (V3),Responsable Dev ID
IEACTCKNI4MA7S2H,Blanc-M-1,https://www.wrike.com/open.htm?id=403688263,2019-09-29T13:17:29Z,ECO-18,0.099,6.144779,44.67066,Lieu-dit Les Combettes,05500,SAINT JULIEN EN CHAMPSAUR,SANS OBJET,2018-09-29,2020-10-29,Obligation d'achat S17,112.5,2018-02-07,KUAFV42T,2018-09-29,Provence-Alpes-Côte d'Azur (13),2020-10-29,0.0999,2018-12-12,21090.19,0,2020-07-01,1616,CONGARD Kévin,2018-02-28,2020-01-10,1403,PC,,2020-08-30,2020-06-11,2022-02-07,"[""Bâtiment Neuf""]",2022-07-06,2018-09-05,2018-02-07,2018-09-05,2021-09-05,,2018-08-29,2021-11-30,2022-03-07,2020-06-18,,,Oui,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2J,Boyer-M,https://www.wrike.com/open.htm?id=403688265,2019-09-29T13:17:30Z,ECO-18,0.099,2.250820,44.362796,Lieu-Dit Le Bouissou,12350,PREVINQUIERES,SANS OBJET,2019-09-04,2021-10-04,Obligation d'achat S17,109.4,2017-11-20,KUAGPU2M,2019-03-25,Occitanie (11),2021-10-04,0.09999,2019-12-04,3658.24,0,2021-03-15,1156,CONGARD Kévin,2020-03-04,2020-03-13,1241,PC,,2021-01-26,2021-01-06,2022-03-18,"[""Bâtiment Neuf""]",2022-07-06,2018-08-29,2017-11-20,2018-08-29,2021-08-29,,2019-02-25,2022-03-04,2022-04-14,2021-01-26,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2L,Clary,https://www.wrike.com/open.htm?id=403688267,2019-09-29T13:17:30Z,ECO-18,0.099,6.007528,44.486707,Lieu-dit La cote,05000,NEFFES,SANS OBJET,2019-07-03,2021-08-03,Obligation d'achat S17,109.4,2018-05-03,KUAFV42T,2019-06-26,Provence-Alpes-Côte d'Azur (13),2021-08-03,0.09999,2019-12-12,4906.84,0,2020-12-01,1451,CONGARD Kévin,2020-03-12,2020-04-20,1388,PC,,2021-01-29,2021-01-04,2022-03-17,"[""Bâtiment Neuf""]",2022-07-06,2019-05-03,2018-05-03,2019-05-03,2022-05-03,,2019-05-26,2021-05-20,2021-09-10,2021-01-29,2020-03-06,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2M,Eymery-1,https://www.wrike.com/open.htm?id=403688268,2019-09-29T13:17:30Z,ECO-18,0.099,5.754535,44.566307,Lieu-dit La Valette,05140,LA FAURIE,SANS OBJET,2019-07-24,2021-08-24,Obligation d'achat S17,109.4,2018-06-20,KUAFV42T,2019-06-28,Provence-Alpes-Côte d'Azur (13),2021-08-24,0.0996,2019-12-23,15807.44,0,2021-01-15,1460,CONGARD Kévin,2020-04-01,2020-01-28,1381,PC,,2020-07-24,2020-07-22,2022-08-29,"[""Bâtiment Neuf""]",2022-07-06,2019-06-06,2018-06-20,2019-06-06,2022-06-06,,2019-05-28,2021-04-08,2022-05-18,2020-08-26,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2N,Fanguiaire-1,https://www.wrike.com/open.htm?id=403688269,2019-09-29T13:17:30Z,ECO-18,0.099,6.131216,43.796294,Lieu-dit Plaine des bois,04500,ROUMOULES,SANS OBJET,2018-06-29,2020-07-29,Obligation d'achat S17,112.4,2017-11-02,KUAGEAKU,2018-06-28,Provence-Alpes-Côte d'Azur (13),2019-12-30,0.0999,2018-10-02,5052.93,0,2020-03-02,1537,CONGARD Kévin,2018-12-15,2019-10-21,1521,PC,,2020-01-07,2019-12-05,2021-10-25,"[""Bâtiment Neuf""]",2021-11-04,2018-05-24,2017-11-02,2018-05-24,2021-05-24,,2018-05-28,2020-06-30,2021-11-04,2020-04-24,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2O,Favre,https://www.wrike.com/open.htm?id=403688270,2019-09-29T13:17:31Z,ECO-18,0.099,5.979924,43.779445,Quartier Saint Pierre,04800,SAINT MARTIN DE BROME,SANS OBJET,2019-03-25,2021-04-25,Obligation d'achat S17,111.9,2018-02-28,KUAFV42T,2019-03-22,Provence-Alpes-Côte d'Azur (13),2021-04-26,0.0999,2020-03-12,8044,0,2021-02-01,1518,CONGARD Kévin,2019-08-29,2020-01-23,1422,PC,,2020-07-24,2020-07-09,2022-03-15,"[""Bâtiment Neuf""]",2022-07-06,2019-01-15,2018-02-28,2019-01-15,2022-01-15,,2019-02-22,2022-03-25,2022-01-19,2020-08-26,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2P,Gillet-1,https://www.wrike.com/open.htm?id=403688271,2019-09-29T13:17:31Z,ECO-18,0.099,4.936147,43.677717,Lieu-dit les Fiolles,13930,AUREILLE,SANS OBJET,2019-08-30,2021-09-30,Obligation d'achat S17,109.4,2017-08-28,KUAGEAKU,2019-06-26,Provence-Alpes-Côte d'Azur (13),2021-09-30,0.099,2019-12-30,30714.73,0,2021-02-03,1482,CONGARD Kévin,2020-03-30,2021-02-26,1311,PC,,2021-12-06,2021-12-06,2022-12-27,Bâtiment Neuf,2022-07-06,2018-10-02,2017-08-28,2018-10-02,2022-10-02,,2019-05-26,,,2021-12-06,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2R,Guillot,https://www.wrike.com/open.htm?id=403688273,2019-09-29T13:17:31Z,ECO-18,0.099,5.212925,44.24793,Lieu-dit Les Grandes Terres,26170,PIERRELONGUE,SANS OBJET,2019-08-12,2021-09-12,Obligation d'achat S17,109.4,2018-05-11,KUAFV42T,2019-03-25,Auvergne-Rhône-Alpes (1),2021-02-15,0.0999,2019-10-03,38823.82,0,2020-11-02,1398,CONGARD Kévin,2019-12-20,2020-05-11,1395,PC,,2020-09-29,2020-07-07,2022-03-17,Bâtiment Neuf,2022-07-06,2018-12-11,2018-05-11,2018-12-11,2021-12-11,,2019-02-25,2021-03-05,2021-06-04,2020-08-26,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2S,Allard-2,https://www.wrike.com/open.htm?id=403688274,2019-09-29T13:17:31Z,ECO-18,0.099,4.717829,43.525305,Mas les 2 Verdiers Chemin de cazeau Le Sambuc,13200,ARLES,SANS OBJET,2019-03-29,2021-04-29,Obligation d'achat S17,111.9,2018-02-05,KUAGEAKU,2019-03-26,Provence-Alpes-Côte d'Azur (13),2021-02-18,0.0999,2019-06-27,15579.98,0,2020-09-25,1334,CONGARD Kévin,2019-09-02,2020-01-28,1209,DP,,2020-07-24,2020-06-30,2022-12-01,"[""Location Toiture""]",2019-03-29,2018-10-15,2018-02-05,2018-10-15,2021-10-15,,2019-02-26,2021-06-11,2022-01-05,2020-08-26,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2T,Amat-1,https://www.wrike.com/open.htm?id=403688275,2019-09-29T13:17:31Z,ECO-18,0.099,5.904653,44.705164,Lieu-dit Rioupes,05250,SAINT ETIENNE EN DEVOLUY,SANS OBJET,2019-03-29,2021-04-29,Obligation d'achat S17,111.9,2018-10-19,KUAFV42T,2019-03-26,Provence-Alpes-Côte d'Azur (13),2021-04-29,0.0999,2019-06-20,12143,0,2020-12-15,1299,GAUBERTI Anansa,2019-09-02,2020-01-23,1174,DP,,2020-07-24,2020-07-09,2022-03-15,"[""Location Toiture""]",2019-03-29,2018-12-18,2018-10-19,2018-12-18,2021-12-18,,2019-02-26,2021-08-16,2022-06-15,2020-08-26,,,A déterminer,,,,,,,,,,,,,,,,,,KUAI73UW
